epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.613,4.34932,5.14352,4.2554,0,0,0,0,3.43427,3.88337,3.46557,0.0001538,0.0001538,0.0001538
2,229.126,4.19682,4.92182,4.02179,0,0,0,0,3.42382,3.886,3.46673,0.000314041,0.000314041,0.000314041
3,341.757,3.71043,4.13967,3.44915,0,0,0,0,3.44783,3.941,3.52062,0.000473004,0.000473004,0.000473004
4,411.2,3.15495,3.09322,2.77291,0,0,0,0,3.46858,4.01868,3.50069,0.000630687,0.000630687,0.000630687
5,500.069,2.66434,2.50252,2.32406,0.00197,0.00095,0.00103,0.00044,3.35581,3.91739,3.37682,0.000756819,0.000756819,0.000756819
6,542.06,2.38745,2.22599,2.04431,0.06715,0.09776,0.05291,0.02294,2.90175,3.01065,2.59096,0.000753774,0.000753774,0.000753774
7,594.352,2.17576,2.01248,1.86762,0.49885,0.06356,0.09593,0.04078,2.37241,2.26534,2.02176,0.000750729,0.000750729,0.000750729
8,638.509,2.01811,1.83956,1.74512,0.58175,0.14243,0.15003,0.06688,2.0547,1.90186,1.7784,0.000747683,0.000747683,0.000747683
9,687.682,1.95321,1.74034,1.67369,0.61787,0.18795,0.20944,0.1034,1.763,1.67826,1.58073,0.000744638,0.000744638,0.000744638
10,719.652,1.83079,1.64174,1.58765,0.70204,0.28356,0.32322,0.16622,1.49776,1.23605,1.33894,0.000741593,0.000741593,0.000741593
11,768.411,1.7846,1.57752,1.54714,0.69267,0.24308,0.26901,0.13909,1.52257,1.35737,1.38991,0.000738548,0.000738548,0.000738548
12,815.706,1.71394,1.49889,1.49298,0.71349,0.2714,0.30708,0.16798,1.44172,1.215,1.32096,0.000735502,0.000735502,0.000735502
13,863.172,1.6477,1.41857,1.44438,0.72906,0.23714,0.28615,0.14771,1.55365,1.37401,1.3872,0.000732457,0.000732457,0.000732457
14,893.392,1.61954,1.37347,1.41844,0.60978,0.29176,0.30899,0.16875,1.43393,1.18946,1.29251,0.000729412,0.000729412,0.000729412
15,942.242,1.57379,1.31109,1.39179,0.85366,0.28306,0.33287,0.18154,1.41256,1.16468,1.30138,0.000726367,0.000726367,0.000726367
16,988.765,1.53696,1.28028,1.36289,0.79917,0.36931,0.40817,0.23758,1.27823,1.00077,1.19217,0.000723321,0.000723321,0.000723321
17,1030.3,1.49942,1.22731,1.3389,0.8673,0.38706,0.44344,0.27206,1.20199,0.91128,1.12638,0.000720276,0.000720276,0.000720276
18,1074.26,1.49329,1.20383,1.32875,0.90123,0.42016,0.50337,0.30125,1.14831,0.86089,1.0803,0.000717231,0.000717231,0.000717231
19,1123.33,1.44644,1.15401,1.30213,0.88064,0.39755,0.45029,0.27169,1.20202,0.90576,1.11735,0.000714186,0.000714186,0.000714186
20,1159.68,1.43745,1.14842,1.29023,0.85278,0.40061,0.46406,0.28148,1.20397,0.91421,1.09279,0.00071114,0.00071114,0.00071114
21,1212.11,1.41987,1.1199,1.27316,0.81293,0.41079,0.47535,0.29044,1.15887,0.86595,1.08542,0.000708095,0.000708095,0.000708095
22,1246.44,1.38618,1.09505,1.26653,0.85924,0.37853,0.4603,0.28986,1.17671,0.88266,1.10169,0.00070505,0.00070505,0.00070505
23,1292.54,1.37614,1.06776,1.25319,0.84678,0.47764,0.53258,0.35196,1.06132,0.76558,1.02115,0.000702005,0.000702005,0.000702005
24,1339.07,1.36818,1.05545,1.24411,0.80514,0.47769,0.5344,0.35444,1.04904,0.75434,1.00719,0.000698959,0.000698959,0.000698959
